0,0,13,3250,28,1
1,1,16,4000,35,1
2,2,20,5000,45,1
3,1,24,6000,77,0
4,4,4,1000,4,0
5,2,7,1750,14,1
6,1,12,3000,35,0
7,2,9,2250,22,1
8,5,46,11500,98,1
9,4,23,5750,58,0
10,0,3,750,4,0
11,2,10,2500,28,1
12,1,13,3250,47,0
13,2,6,1500,15,1
14,2,5,1250,11,1
15,2,14,3500,48,1
16,2,15,3750,49,1
17,2,6,1500,15,1
18,2,3,750,4,1
19,2,3,750,4,1
20,4,11,2750,28,0
21,2,6,1500,16,1
22,2,6,1500,16,1
23,9,9,2250,16,0
24,4,14,3500,40,0
25,4,6,1500,14,0
26,4,12,3000,34,1
27,4,5,1250,11,1
28,4,8,2000,21,0
29,1,14,3500,58,0
30,4,10,2500,28,1
31,4,10,2500,28,1
32,4,9,2250,26,1
33,2,16,4000,64,0
34,2,8,2000,28,1
35,2,12,3000,47,1
36,4,6,1500,16,1
37,2,14,3500,57,1
38,4,7,1750,22,1
39,2,13,3250,53,1
40,2,5,1250,16,0
41,2,5,1250,16,1
42,2,5,1250,16,0
43,4,20,5000,69,1
44,4,9,2250,28,1
45,2,9,2250,36,0
46,2,2,500,2,0
47,2,2,500,2,0
48,2,2,500,2,0
49,2,11,2750,46,0
50,2,11,2750,46,1
51,2,6,1500,22,0
52,2,12,3000,52,0
53,4,5,1250,14,1
54,4,19,4750,69,1
55,4,8,2000,26,1
56,2,7,1750,28,1
57,2,16,4000,81,0
58,3,6,1500,21,0
59,2,7,1750,29,0
60,2,8,2000,35,1
61,2,10,2500,49,0
62,4,5,1250,16,1
63,2,3,750,9,1
64,3,16,4000,74,0
65,2,4,1000,14,1
66,0,2,500,4,0
67,4,7,1750,25,0
68,1,9,2250,51,0
69,2,4,1000,16,0
70,2,4,1000,16,0
71,4,17,4250,71,1
72,2,2,500,4,0
73,2,2,500,4,1
74,2,2,500,4,1
75,2,4,1000,16,1
76,2,2,500,4,0
77,2,2,500,4,0
78,2,2,500,4,0
79,4,6,1500,23,1
80,2,4,1000,16,0
81,2,4,1000,16,0
82,2,4,1000,16,0
83,2,6,1500,28,1
84,2,6,1500,28,0
85,4,2,500,4,0
86,4,2,500,4,0
87,4,2,500,4,0
88,2,7,1750,35,1
89,4,2,500,4,1
90,4,2,500,4,0
91,4,2,500,4,0
92,4,2,500,4,0
93,12,11,2750,23,0
94,4,7,1750,28,0
95,3,17,4250,86,0
96,4,9,2250,38,1
97,4,4,1000,14,1
98,5,7,1750,26,1
99,4,8,2000,34,1
100,2,13,3250,76,1
101,4,9,2250,40,0
102,2,5,1250,26,0
103,2,5,1250,26,0
104,6,17,4250,70,0
105,0,8,2000,59,0
106,3,5,1250,26,0
107,2,3,750,14,0
108,2,10,2500,64,0
109,4,5,1250,23,1
110,4,9,2250,46,0
111,4,5,1250,23,0
112,4,8,2000,40,1
113,2,12,3000,82,0
114,11,24,6000,64,0
115,2,7,1750,46,1
116,4,11,2750,61,0
117,1,7,1750,57,0
118,2,11,2750,79,1
119,2,3,750,16,1
120,4,5,1250,26,1
121,2,6,1500,41,1
122,2,5,1250,33,1
123,2,4,1000,26,0
124,2,5,1250,34,0
125,4,8,2000,46,1
126,2,4,1000,26,0
127,4,8,2000,48,1
128,2,2,500,10,1
129,4,5,1250,28,0
130,2,12,3000,95,0
131,2,2,500,10,0
132,4,6,1500,35,0
133,2,11,2750,88,0
134,2,3,750,19,0
135,2,5,1250,37,0
136,2,12,3000,98,0
137,9,5,1250,19,0
138,2,2,500,11,0
139,2,9,2250,74,0
140,5,14,3500,86,0
141,4,3,750,16,0
142,4,3,750,16,0
143,4,2,500,9,1
144,4,3,750,16,1
145,6,3,750,14,0
146,2,2,500,11,0
147,2,2,500,11,1
148,2,2,500,11,0
149,2,7,1750,58,1
150,4,6,1500,39,0
151,4,11,2750,78,0
152,2,1,250,2,1
153,2,1,250,2,0
154,2,1,250,2,0
155,2,1,250,2,0
156,2,1,250,2,0
157,2,1,250,2,0
158,2,1,250,2,0
159,2,1,250,2,0
160,2,1,250,2,0
161,2,1,250,2,0
162,2,1,250,2,1
163,2,1,250,2,1
164,2,1,250,2,1
165,2,1,250,2,0
166,2,1,250,2,0
167,2,1,250,2,0
168,2,1,250,2,0
169,2,1,250,2,0
170,2,1,250,2,0
171,2,1,250,2,0
172,2,1,250,2,0
173,2,1,250,2,0
174,11,10,2500,35,0
175,11,4,1000,16,1
176,4,5,1250,33,1
177,4,6,1500,41,1
178,2,3,750,22,0
179,4,4,1000,26,1
180,10,4,1000,16,0
181,2,4,1000,35,0
182,4,12,3000,88,0
183,13,8,2000,26,0
184,11,9,2250,33,0
185,4,5,1250,34,0
186,4,4,1000,26,0
187,8,15,3750,77,0
188,4,5,1250,35,1
189,4,7,1750,52,0
190,4,7,1750,52,0
191,2,4,1000,35,0
192,11,11,2750,42,0
193,2,2,500,14,0
194,2,5,1250,47,1
195,9,8,2000,38,1
196,4,6,1500,47,0
197,11,7,1750,29,0
198,9,9,2250,45,0
199,4,6,1500,52,0
200,4,7,1750,58,0
201,6,2,500,11,1
202,4,7,1750,58,0
203,11,9,2250,38,0
204,11,6,1500,26,0
205,2,2,500,16,0
206,2,7,1750,76,0
207,11,6,1500,27,0
208,11,3,750,14,0
209,4,1,250,4,0
210,4,1,250,4,0
211,4,1,250,4,0
212,4,1,250,4,0
213,4,1,250,4,0
214,4,1,250,4,1
215,4,1,250,4,0
216,4,1,250,4,0
217,4,1,250,4,0
218,4,1,250,4,0
219,4,1,250,4,0
220,4,1,250,4,1
221,4,1,250,4,1
222,4,1,250,4,0
223,4,1,250,4,1
224,4,1,250,4,1
225,4,1,250,4,0
226,4,3,750,24,0
227,4,1,250,4,0
228,4,1,250,4,0
229,4,1,250,4,0
230,4,1,250,4,1
231,4,1,250,4,0
232,10,8,2000,39,0
